Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
Myoview,TETROFOSMIN,Tetrofosmin,Mixed,ar,less,angina/ventricular tachycardia,moderate
Thallous Chloride Tl 201,THALLOUS CHLORIDE TL-201,THALLOUS CHLORIDE TL-201,,sp,ambiguous,care should be taken in patients with myocardial infarction or ischemia,NA
Drax Exametazime,KIT FOR THE PREPARATION OF TECHNETIUM TC 99M EXAMETAZIME FOR LEUKOCYTE LABELING,TECHNETIUM TC-99M EXAMETAZIME,Heart Damage,ar,less,blood pressure increase,mild
Nipent,PENTOSTATIN,PENTOSTATIN,Mixed,ar,less,Angina Pectoris/Arrhythmia,moderate
PYLARIFY,PIFLUFOLASTAT F-18,PIFLUFOLASTAT F-18,,no,no,NA,NA
Axumin,FLUCICLOVINE F-18,Fluciclovine F-18,,no,no,NA,NA
Acetaminophen,ACETAMINOPHEN,ACETAMINOPHEN,Heart Damage,ar,less,"hypertension, hypotension",mild
Pepaxto,MELPHALAN FLUFENAMIDE,melphalan flufenamide hydrochloride,,no,no,NA,NA
DALVANCE,DALBAVANCIN,DALBAVANCIN HYDROCHLORIDE,,CLINICAL PHARMACOLOGY,no,no  QT,NA
Glofil-125,SODIUM IOTHALAMATE I-125 INJECTION,IOTHALAMATE SODIUM I-125,,no,no,NA,NA
LEXISCAN(R) (REGADENOSON),LEXISCAN(R) (REGADENOSON),REGADENOSON,Mixed,wp,most,Fatal myocardial infarction/ventricular arrhythmias,severe
ZEPZELCA,LURBINECTEDIN,LURBINECTEDIN,,CLINICAL PHARMACOLOGY,no,No large mean increase in QTc,NA
Fluorodopa F18,FLUORODOPA F18,FLUORODOPA F-18,,no,no,NA,NA
BYFAVO,REMIMAZOLAM BESYLATE,remimazolam besylate,Mixed,bw,most,Bradycardia/Hypotension,mild
NutriLipid I.V. Fat Emulsion,SOYBEAN OIL,SOYBEAN OIL,,sp,ambiguous,Hypersensitivity Reactions :tachycardia,mild
Pemfexy,PEMETREXED,PEMETREXED MONOHYDRATE,Arrhythmia,ar,less,supraventricular arrhythmia,moderate
Ellence,EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,Mixed,bw,most,"cardiomyopathy/ventricular
tachycardia",severe
Sodium Citrate,ANTICOAGULANT SODIUM CITRATE SOLUTION,SODIUM CITRATE,,no,no,NA,NA
Ultratag RBC,TECHNETIUM TC 99M-LABELED RED BLOOD CELLS,STANNOUS CHLORIDE,,no,no,NA,NA
Gadavist,GADOBUTROL,GADOBUTROL,Arrhythmia,ar,less,Cardiac arrest,severe
Cleviprex,CLEVIPIDINE,CLEVIDIPINE,Mixed,wp,less,hypotension/reflex tachycardia,mild
Alfentanil Hydrochloride,ALFENTANIL HYDROCHLORIDE,Alfentanil Hydrochloride,Arrhythmia,wp,less,bradycardia,mild
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Mixed,wp,most,sinus arrest/Hypotension,moderate
Visudyne,VERTEPORFIN FOR INJECTION,VERTEPORFIN,Mixed,ar,less,Atrial fibrillation/hypertension,mild
Korsuva,DIFELIKEFALIN,DIFELIKEFALIN ACETATE,Heart Damage,overdosage,less ,hypertension,mild
Asclera,POLIDOCANOL,POLIDOCANOL,Heart Damage,wp,most,myocardial infarction,severe
VIBATIV,TELAVANCIN HYDROCHLORIDE,telavancin hydrochloride,Arrhythmia,wp,most,"prolonged the QTc
interval",severe
Levothyroxine Sodium,LEVOTHYROXINE SODIUM ANHYDROUS,LEVOTHYROXINE SODIUM ANHYDROUS,Mixed,wp,most,congestive heart failure and death/arrhythmias,severe
ATROPINE SULFATE; Atropine Sulfate,ATROPINE SULFATE,ATROPINE SULFATE,Arrhythmia,wp,less,tachycardia,mild
Vyondys 53,GOLODIRSEN,golodirsen,Arrhythmia,ar,less,tachycardia,mild
Cytovene IV,GANCICLOVIR SODIUM,ganciclovir sodium,Arrhythmia,ar,less,cardiac arrest,severe
THAM,TROMETHAMINE,TROMETHAMINE,,no,no,NA,NA
ProHance,GADOTERIDOL,gadoteridol,Mixed,ar,less,Angina pectoris/palpitations,moderate
PROPOFOL,PROPOFOL,PROPOFOL,Mixed,wp,most,ECG changes and/or cardiac failure,severe
Levoleucovorin,LEVOLEUCOVORIN,LEVOLEUCOVORIN CALCIUM PENTAHYDRATE,,no,no,NA,NA
CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,Mixed,ar,less,myocardial infarction/arrhythmia,mild
ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,Mixed,wp,most,heart failure/Bradycardia,severe
Ifosfamide,IFOSFAMIDE,IFOSFAMIDE,Mixed,wp,most,fatal cardiomyopathy/ventricular arrhythmias,severe
Daunorubicin Hydrochloride,DAUNORUBICIN HYDROCHLORIDE,DAUNORUBICIN HYDROCHLORIDE,Heart Damage,bw,most,fatal congestive heart failure,severe
Pancuronium Bromide,PANCURONIUM BROMIDE,PANCURONIUM BROMIDE,,sp,ambiguous,hypersensitivity reactions:tachycardia,mild
mitoXANTRONE,MITOXANTRONE,MITOXANTRONE HYDROCHLORIDE,Heart Damage,bw,most,Congestive heart failure,severe
Carmustine,CARMUSTINE,CARMUSTINE,Mixed,ar,less,Tachycardia/chest pain,mild
GEMCITABINE,GEMCITABINE,GEMCITABINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/arrhythmia,severe
CAFFEINE CITRATE,CAFFEINE CITRATE,CAFFEINE CITRATE,Mixed,wp,most,increase heart rate/ left ventricular outpu,severe
BIVALIRUDIN,BIVALIRUDIN,BIVALIRUDIN,Heart Damage,ar,less,cardiac tamponade,severe
VinCRIStine Sulfate,VINCRISTINE SULFATE,VINCRISTINE SULFATE,Heart Damage,ar,less,Hypertension ,mild
Arsenic Trioxide,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,Arrhythmia,bw,most,torsade de pointes,moderate
Micafungin,MICAFUNGIN SODIUM,MICAFUNGIN,Mixed,ar,less,cardiac arrest/myocardial infarction,severe
Cefoxitin,CEFOXITIN,cefoxitin sodium,Heart Damage,ar,less,Hypotension,mild
Sodium Tetradecyl Sulfate,SODIUM TETRADECYL SULFATE,SODIUM TETRADECYL SULFATE,Heart Damage,wp,most,myocardial infarction,severe
Paclitaxel,PACLITAXEL,paclitaxel,Mixed,wp,less,bradycardia/hypertension,mild
Mesna,MESNA,mesna,Mixed,ar,less,hypotension/tachycardia,mild
Eptifibatide,EPTIFIBATIDE,Eptifibatide,Heart Damage,ar,less,hypotension,mild
Technetium Tc 99m Sestamibi,TECHNETIUM TC 99M SESTAMIBI,TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE,Mixed,wp,most,myocardial infarction/arrhythmia,severe
Ibuprofen Lysine,IBUPROFEN LYSINE,IBUPROFEN LYSINE,Mixed,ar,less,Tachycardia/cardiac failure,severe
Vinblastine Sulfate,VINBLASTINE SULFATE,VINBLASTINE SULFATE,Heart Damage,ar,less,Hypertension,mild
Indium In 111 Oxyquinoline,INDIUM IN-111 OXYQUINOLINE,INDIUM IN-111 OXYQUINOLINE,,no,no,NA,NA
Esomeprazole Sodium,ESOMEPRAZOLE SODIUM,Esomeprazole Sodium,,no,no,NA,NA
CLARISCAN,GADOTERATE MEGLUMINE,gadoterate meglumine,Mixed,ar,less,"arrhythmia/hypotension, hypertension",mild
Adenosine,ADENOSINE,Adenosine,Arrhythmia,wp,most,thirddegree heart block,severe
NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,Heart Damage,wp,most,angina,moderate
Ethacrynic Sodium,ETHACRYNIC SODIUM,ETHACRYNATE SODIUM,,sp,ambiguous,hypotension(drug interaction),NA
LMD in Dextrose; LMD in Sodium Chloride,DEXTRAN 40,DEXTRAN 40,Arrhythmia,wp,most,cardiac and respiratory arrest,severe
Azithromycin,AZITHROMYCIN,AZITHROMYCIN MONOHYDRATE,Arrhythmia,wp,most, torsades de pointes,moderate
CIDOFOVIR DIHYDRATE,CIDOFOVIR DIHYDRATE,CIDOFOVIR,Mixed,ar,less,congestive heart failure/tachycardia,severe
AMPICILLIN,AMPICILLIN SODIUM,AMPICILLIN SODIUM,,no,no,NA,NA
Linezolid,LINEZOLID,LINEZOLID,,sp,ambiguous,patients with uncontrolled hypertension,NA
Micafungin,MICAFUNGIN SODIUM,MICAFUNGIN SODIUM,Mixed,ar,less,cardiac arrest/myocardial infarction,severe
Norepinephrine Bitartrate,NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,Mixed,ar,less,rise in blood pressure/arrhythmias,mild
CEFEPIME,CEFEPIME,CEFEPIME HYDROCHLORIDE,,no,no,NA,NA
Rocuronium,ROCURONIUM,ROCURONIUM BROMIDE,Arrhythmia,ar,less,arrhythmia,mild
ENALAPRILAT,ENALAPRILAT,ENALAPRILAT,Heart Damage,wp,less,Hypotension,mild
Busulfan,BUSULFAN,Busulfan,Mixed,ar,less,left-sided heart failure/Arrhythmia,severe
Calcitriol,CALCITRIOL,Calcitriol,Mixed,ar,less,cardiac arrhythmias/hypertension,mild
Meropenem,MEROPENEM,MEROPENEM,Mixed,ar,less,heart failure/tachycardia,severe
Clindamycin,CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate,Mixed,ar,less,Cardiopulmonary arrest/hypotension,severe
Sodium Nitroprusside,SODIUM NITROPRUSSIDE,Sodium Nitroprusside,Heart Damage,bw,most,decreases in blood pressure,mild
Fosaprepitant,FOSAPREPITANT DIMEGLUMINE,FOSAPREPITANT DIMEGLUMINE,,no,no,hypersensitivity reactions:hypotension,NA
Romidepsin,ROMIDEPSIN,ROMIDEPSIN,Arrhythmia,wp,less,changes in ECGs,mild
Ferumoxytol,FERUMOXYTOL,FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE,Heart Damage,wp,less,hypotension,mild
Aminophylline,AMINOPHYLLINE,Aminophylline Dihydrate,Arrhythmia,ar,less,cardiac arrhythmias,mild
PARAPLATIN,CARBOPLATIN,CARBOPLATIN,Heart Damage,ar,less,hypertension,mild
Gemcitabine,GEMCITABINE,GEMCITABINE,Mixed,ar,less,myocardial infarction/arrhythmia,severe
Azathioprine Sodium,AZATHIOPRINE SODIUM,AZATHIOPRINE SODIUM,,no,no,NA,NA
Ammonia N 13,AMMONIA N-13,AMMONIA N-13,,no,no,NA,NA
Kit for the Preparation of Technetium Tc99m Mertiatide,BETIATIDE,Betiatide,Mixed,ar,less ,tachycardia/ hypertension,mild
TAZICEF,CEFTAZIDIME,CEFTAZIDIME,,no,no,NA,NA
Sodium Fluoride F 18,SODIUM FLUORIDE F 18,SODIUM FLUORIDE F-18,,no,no,NA,NA
Milrinone Lactate,MILRINONE LACTATE,Milrinone Lactate,Arrhythmia,wp,most, ventricular arrhythmias,moderate
NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,Arrhythmia,wp,less,bradycardia,mild
Amiodarone Hydrochloride,AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE,Mixed,wp,less,bradycardia/Hypotension,mild
TECHNETIUM TC 99M SESTAMIBI,TECHNETIUM TC 99M SESTAMIBI,TECHNETIUM TC-99M SESTAMIBI,Mixed,ar,less,hypotension/arrhythmia,mild
acyclovir,ACYCLOVIR,ACYCLOVIR SODIUM,Heart Damage,ar,less,Hypertension,mild
Pamidronate Disodium,PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,Heart Damage,ar,less,Hypertension,mild
Chloramphenicol Sodium Succinate,CHLORAMPHENICOL SODIUM SUCCINATE,CHLORAMPHENICOL SODIUM SUCCINATE,,no,no,NA,NA
Zinc Chloride,ZINC CHLORIDE,ZINC CHLORIDE,Arrhythmia,overdosage,less,tachycardia,mild
Fomepizole,FOMEPIZOLE,Fomepizole,Mixed,ar,less,tachycardia/hypotension,NA
DOXOrubicin Hydrochloride,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,Mixed,bw,most,Cardiomyopathy/Arrhythmias,severe
Cisatracurium Besylate,CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE,Mixed,ar,less,Bradycardia/Hypotension,mild
Amphotericin B,AMPHOTERICIN B,AMPHOTERICIN B,Mixed,ar,less,cardiac arrest/cardiomegaly,severe
Topotecan,TOPOTECAN,TOPOTECAN,,no,no,NA,NA
Dacarbazine,DACARBAZINE,DACARBAZINE,,no,no,NA,NA
VECURONIUM BROMIDE,VECURONIUM BROMIDE,VECURONIUM BROMIDE,,sp,ambiguous,hypersensitivity reactions:tachycardia,NA
LEVOLEUCOVORIN,LEVOLEUCOVORIN,Levoleucovorin Calcium,,no,no,NA,NA
DECITABINE,DECITABINE,DECITABINE,Mixed,ar,less,Cardiac failure congestive/Tachycardia,mild
Tigecycline,TIGECYCLINE,TIGECYCLINE,,no,no,NA,NA
Zoledronic Acid,ZOLEDRONIC ACID,Zoledronic Acid,,sp,ambiguous,patients with underlying risk,NA
Tranexamic Acid,TRANEXAMIC ACID,Tranexamic Acid,,sp,ambiguous,Hypotension(injection is too rapid),mild
Etoposide,ETOPOSIDE,ETOPOSIDE,,no,no,NA,NA
fosaprepitant,FOSAPREPITANT,FOSAPREPITANT,,sp,ambiguous,hypersensitivity reaction:hypotension,mild
DOCETAXEL,DOCETAXEL ANHYDROUS,DOCETAXEL ANHYDROUS,Mixed,ar,less,heart failure/sinus tachycardia,mild
Dipyridamole,DIPYRIDAMOLE,Dipyridamole,Mixed,wp,most,myocardial infarction/ventricular tachycardia,severe
Sotradecol,TETRADECYL HYDROGEN SULFATE (ESTER),TETRADECYL HYDROGEN SULFATE (ESTER),Heart Damage,wp,most,myocardial infarction,severe
Nelarabine,NELARABINE,NELARABINE,,no,no,NA,NA
Idarubicin Hydrochloride,IDARUBICIN HYDROCHLORIDE,IDARUBICIN HYDROCHLORIDE,Mixed,bw,most,congestive heart failure/arrhythmias,severe
Valproate Sodium,VALPROATE SODIUM,VALPROATE SODIUM,Mixed,ar,less,Tachycardia/hypertension,mild
STRONTIUM CHLORIDE Sr-89,STRONTIUM CHLORIDE SR-89,STRONTIUM CHLORIDE SR-89,,no,no,NA,NA
epoprostenol,EPOPROSTENOL,EPOPROSTENOL SODIUM,Mixed,ar,less,tachycardia/hypotension,mild
SODIUM ACETATE,SODIUM ACETATE,SODIUM ACETATE,,sp,ambiguous,used with care in patients with cardiac decompensation,NA
Acetazolamide,ACETAZOLAMIDE,ACETAZOLAMIDE SODIUM,,no,no,NA,NA
Allopurinol,ALLOPURINOL,ALLOPURINOL SODIUM,Mixed,ar,less,heart failure/ventricular fibrillation,severe
Flumazenil,FLUMAZENIL,FLUMAZENIL,Arrhythmia,wp,most,ventricular dysrhythmia,moderate
Atracurium Besylate,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,Mixed,ar,less,tachycardia/Hypotension,mild
Clindamycin in 5 Percent Dextrose,CLINDAMYCIN IN 5 PERCENT DEXTROSE,CLINDAMYCIN,,sp,ambiguous,hypotension(injection is too rapid),mild
Doxercalciferol,DOXERCALCIFEROL,DOXERCALCIFEROL,,sp,ambiguous,hypersensitivity reaction:hypotension/cardiopulmonary arrest,mild
Erythromycin Lactobionate,ERYTHROMYCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,Arrhythmia,wp,most,prolonged QT intervals,severe
Granisetron Hydrochloride,GRANISETRON HYDROCHLORIDE,Granisetron Hydrochloride,Arrhythmia,wp,most,QT prolongation,moderate
Dantrolene,DANTROLENE,DANTROLENE SODIUM,,sp,ambiguous,Cardiovascular collapse  (receiving dantrolene in combination with calcium channel blockers),NA
Vinorelbine,VINORELBINE,vinorelbine tartrate,Mixed,ar,less,tachycardia/myocardial infarction,mild
Fludarabine Phosphate,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,Mixed,ar,less,heart failure/arrhythmia,severe
Melphalan,MELPHALAN HYDROCHLORIDE,MELPHALAN HYDROCHLORIDE,,sp,ambiguous,tachycardia/hypotension(Hypersensitivity),NA
dactinomycin,DACTINOMYCIN,DACTINOMYCIN,,no,no,NA,NA
Fludeoxyglucose F 18,FLUDEOXYGLUCOSE F-18,Fludeoxyglucose F-18,,no,no,NA,NA
DOBUTAMINE,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,Mixed,wp,less,Increase in Heart Rate or Blood Pressure,mild
Indomethacin,INDOMETHACIN,INDOMETHACIN SODIUM,Mixed,ar,less,bradycardia/hypertension,mild
PROTAMINE SULFATE,PROTAMINE SULFATE,PROTAMINE SULFATE,Heart Damage,bw,most,cardiocascular collapse,severe
oxaliplatin,OXALIPLATIN,OXALIPLATIN,Arrhythmia,wp,most,fatal torsade de pointes,severe
Irinotecan Hydrochloride,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,Mixed,ar,less,Myocardial ischemic/dysrhythmias,severe
Ceftriaxone,CEFTRIAXONE,CEFTRIAXONE SODIUM,,no,no,NA,NA
Hypaque Sodium,DIATRIZOATE SODIUM,Diatrizoate Sodium,Mixed,wp,most,myocardial infarction/cardiac arrest,severe
Etesevimab,ETESEVIMAB,Etesevimab,Arrhythmia,wp,less,arrhythmia,mild
Neutrexin,TRIMETREXATE GLUCURONATE,trimetrexate glucuronate,,no,no,NA,NA
Feridex,FERUMOXIDES,ferumoxides,Mixed,ar,less,hypotension/arrhythmias,mild
Endrate,"EDETATE DISODIUM, ANHYDROUS","Edetate disodium, anhydrous",,sp,ambiguous,Caution is dictated in the use of this drug in patients with limited cardiac reserve ,NA
Kinlytic,UROKINASE,UROKINASE,,sp,ambiguous,infusion reactions:n tachycardia ,mild
Bamlanivimab,BAMLANIVIMAB,Bamlanivimab,Arrhythmia,wp,less,arrhythmia,mild
RadioGenix System,TECHNETIUM TC 99M GENERATOR,TECHNETIUM TC-99M SODIUM PERTECHNETATE,,no,no,NA,NA
TEMODAR,TEMOZOLOMIDE,Temozolomide,,no,no,NA,NA
Briviact,BRIVARACETAM,brivaracetam,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,NA
SIVEXTRO,TEDIZOLID PHOSPHATE,tedizolid phosphate,Arrhythmia,ar,less,tachycardia,mild
Baxdela,DELAFLOXACIN MEGLUMINE,delafloxacin meglumine,Mixed,ar,less,sinus tachycardia/ hypertension,moderate
NOXAFIL,POSACONAZOLE,POSACONAZOLE; posaconazole,Arrhythmia,wp,most,torsades de pointes,severe
UPTRAVI; UPTRAVI Titration Pack,SELEXIPAG,SELEXIPAG,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,NA
Vimpat,LACOSAMIDE,LACOSAMIDE,Arrhythmia,wp,most,Ventricular Tachyarrhythmia,severe
PREVYMIS,LETERMOVIR,LETERMOVIR,Arrhythmia,ar,less,"tachycardia, atrial fibrillation",mild
NUZYRA,OMADACYCLINE,omadacycline,Mixed,ar,less,tachycardia/Hypertension,mild
Trovan,TROVAFLOXACIN MESYLATE,trovafloxacin mesylate,Heart Damage,wp,most,Life-threatening hypotension,severe
Kit for the Prepartion of Technetium Tc99m Sulfur Colloid,TECHNETIUM TC 99M SULFUR COLLOID,TECHNETIUM TC-99M SULFUR COLLOID,Mixed,ar,less,hypotension/fatal cardiopulmonary arrest,severe
Heparin Sodium,HEPARIN SODIUM,HEPARIN SODIUM,,no,no,NA,NA
VELCADE,BORTEZOMIB,bortezomib,Mixed,wp,most,congestive heart failure/QT-interval prolongation,severe
AZACITIDINE,AZACITIDINE,AZACITIDINE,Mixed,ar,less,cardiac failure/ cardio respiratory arrest,severe
Octreotide Acetate,OCTREOTIDE ACETATE,OCTREOTIDE ACETATE,Arrhythmia,wp,most,higher degree atrioventricular blocks,severe
RIMSO-50,DIMETHYL SULFOXIDE,Dimethyl Sulfoxide,,no,no,NA,NA
Cysview,HEXAMINOLEVULINATE HYDROCHLORIDE,HEXAMINOLEVULINATE HYDROCHLORIDE,,no,no,NA,NA
Cystografin Dilute,DIATRIZOATE MEGLUMINE,diatrizoate meglumine,,no,no,NA,NA
Valstar,VALRUBICIN,VALRUBICIN,,no,no,NA,NA
CRESEMBA,ISAVUCONAZONIUM SULFATE,ISAVUCONAZONIUM SULFATE,Arrhythmia,ar,less,supraventricular tachycardia,mild
Aptivus,TIPRANAVIR,TIPRANAVIR,,no,no,"tachycardia, ventricular extrasystoles, cardiac arrest",NA
Metopirone,METYRAPONE,METYRAPONE,Heart Damage,ar,less,Hypotension,mild
Ravicti,GLYCEROL PHENYLBUTYRATE,GLYCEROL PHENYLBUTYRATE,,CLINICAL PHARMACOLOGY,no,QTcI) for RAVICTI was below 10 ms,NA
OPSUMIT,MACITENTAN,macitentan,Heart Damage,ar,less,hypotension,mild
ONGLYZA,SAXAGLIPTIN,saxagliptin hydrochloride,Heart Damage,wp,most, heart failure,severe
DIFICID; Dificid,FIDAXOMICIN,FIDAXOMICIN,,no,no,NA,NA
Wakix,PITOLISANT HYDROCHLORIDE,PITOLISANT HYDROCHLORIDE,Arrhythmia,wp,most,QT Interval Prolongation,moderate
Xadago,SAFINAMIDE MESYLATE,SAFINAMIDE MESYLATE,Heart Damage,wp,less,hypertension,mild
Turalio,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,Heart Damage,ar,less,Hypertension,mild
CAPRELSA,VANDETANIB,VANDETANIB,Mixed,bw,most,prolong the QT interval/Heart failure,severe
Zydelig,IDELALISIB,IDELALISIB,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
Benznidazole,BENZNIDAZOLE,BENZNIDAZOLE,,no,no,NA,NA
Dipentum,OLSALAZINE SODIUM,OLSALAZINE SODIUM,Mixed,ar,less,myocarditis,severe
PEMAZYRE,PEMIGATINIB,PEMIGATINIB,,sp,ambiguous,patients with electrocardiogram QT prolonged,NA
Isturisa,OSILODROSTAT,OSILODROSTAT PHOSPHATE,Arrhythmia,wp,most,QT interval prolongation,moderate
Prograf,TACROLIMUS,anhydrous tacrolimus,Heart Damage,wp,less,Myocardial Hypertrophy,mild
ONGENTYS,OPICAPONE,OPICAPONE,Heart Damage,wp,less,hypotension,mild
Priftin,RIFAPENTINE,RIFAPENTINE,Mixed,ar,less,tachycardia/pericarditis,mild
Matulane,PROCARBAZINE HYDROCHLORIDE,PROCARBAZINE HYDROCHLORIDE,Mixed,ar,less,Hypotension/tachycardia,mild
Katerzia,AMLODIPINE,Amlodipine Benzoate,Heart Damage,wp,most,acute myocardial infarction,severe
FACTIVE,GEMIFLOXACIN MESYLATE,GEMIFLOXACIN MESYLATE,Arrhythmia,wp,most,prolong the QT interval,severe
Juxtapid,LOMITAPIDE MESYLATE,LOMITAPIDE MESYLATE,Mixed,ar,less,Angina pectoris/Palpitations ,moderate
Dibenzyline,PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE,,sp,ambiguous,tachycardia(Drug Interactions),NA
NUBEQA,DAROLUTAMIDE,DAROLUTAMIDE,Mixed,ar,less,cardiac failure/arrest,severe
Lynparza,OLAPARIB,OLAPARIB,,no,no,NA,NA
Sovaldi,SOFOSBUVIR,SOFOSBUVIR,,sp,ambiguous,"requiring pacemaker
intervention(Coadministered with Amiodarone)",NA
Edarbi,AZILSARTAN KAMEDOXOMIL,Azilsartan kamedoxomil,,sp,ambiguous,Hypotens ionin Volume- or Salt-Depleted Patients,NA
PYtest,"UREA, C-14",Urea C-14,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
Pranactin-Citric,UREA C-13,UREA C-13,,no,no,NA,NA
Odomzo,SONIDEGIB,SONIDEGIB PHOSPHATE,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
TEPMETKO,TEPOTINIB HYDROCHLORIDE,Tepotinib Hydrochloride,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
Keveyis,DICHLORPHENAMIDE,DICHLORPHENAMIDE,Heart Damage,ar,less,cardiac failure,severe
Fanapt,ILOPERIDONE,ILOPERIDONE,Mixed,wp,most,QTc prolongation/hypotension,moderate
Agrylin,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE ANHYDROUS,Mixed,wp,most,increases the QTc interval /Hypertension,mild
Livmarli,MARALIXIBAT CHLORIDE,maralixibat chloride,,no,no,NA,NA
Lucemyra,LOFEXIDINE HYDROCHLORIDE,LOFEXIDINE HYDROCHLORIDE,Mixed,wp,most,prolongs the QT interval/hypotension,severe
SYMPROIC,NALDEMEDINE,naldemedine tosylate,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
Otezla,APREMILAST,APREMILAST,,no,no,NA,NA
Invirase,SAQUINAVIR MESYLATE,SAQUINAVIR MESYLATE,Mixed,wp,most, Torsade de pointes,severe
Inrebic,FEDRATINIB HYDROCHLORIDE,FEDRATINIB HYDROCHLORIDE,Heart Damage,wp,most,myocardial infarction,severe
Idhifa,ENASIDENIB MESYLATE,ENASIDENIB MESYLATE,Heart Damage,wp,most,pericardial effusion,severe
VIIBRYD,VILAZODONE HYDROCHLORIDE,VILAZODONE HYDROCHLORIDE,Arrhythmia,ar,less,Palpitations,mild
Hepsera,ADEFOVIR DIPIVOXIL,adefovir dipivoxil,,no,no,NA,NA
ANZEMET,DOLASETRON MESYLATE,DOLASETRON MESYLATE,Arrhythmia,wp,most,prolongs the QT interval,severe
TABRECTA,CAPMATINIB,CAPMATINIB,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
JANUVIA,SITAGLIPTIN,SITAGLIPTIN PHOSPHATE,Heart Damage,wp,most,heart failure,severe
Corlanor,IVABRADINE,IVABRADINE HYDROCHLORIDE,Arrhythmia,wp,most,heart block,moderate
Radiogardase,PRUSSIAN BLUE INSOLUBLE CAPSULES,FERRIC FERROCYANIDE,,no,no,NA,NA
Trintellix,VORTIOXETINE,VORTIOXETINE HYDROBROMIDE,,CLINICAL PHARMACOLOGY,ambiguous,QTc was below 10 ms,NA
TAVALISSE,FOSTAMATINIB,FOSTAMATINIB,Heart Damage,wp,most,increases the QTc interval /Hypertension,mild
Alinia,NITAZOXANIDE,NITAZOXANIDE,,no,no,NA,NA
Vyvanse,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Mixed,wp,most,Sudden death/myocardial infarction/Heart rate,severe
Hetlioz; Hetlioz LQ,TASIMELTEON,TASIMELTEON,,no,no,NA,NA
Pradaxa,DABIGATRAN ETEXILATE MESYLATE,DABIGATRAN ETEXILATE MESYLATE,Heart Damage,wp,most,myocardial infarction,severe
TPOXX,TECOVIRIMAT MONOHYDRATE,TECOVIRIMAT MONOHYDRATE,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,NA
IRESSA,GEFITINIB,GEFITINIB,,no,no,NA,NA
Mycapssa,OCTREOTIDE,Octreotide,Arrhythmia,wp,most,QT prolongation,moderate
Orenitram,TREPROSTINIL,treprostinil,,CLINICAL PHARMACOLOGY,ambiguous,"not been evaluated in a
thorough QTc study.",NA
Ruzurgi,AMIFAMPRIDINE,Amifampridine,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,NA
Adempas,RIOCIGUAT,RIOCIGUAT,Heart Damage,wp,less,Hypotension,mild
MAYZENT,SIPONIMOD,SIPONIMOD,Mixed,wp,less,atrioventricular conduction delays /Hypertension,mild
